kind	source	target	slug	status	bucket	reason	needs-review
spec	docs/plans/gltf-apply-vrm-axis-bake-rest-pose.md	docs/plans/active/gltf-apply-vrm-axis-bake-rest-pose.md	gltf-apply-vrm-axis-bake-rest-pose	open	active	legacy open status; review before move	true
spec	docs/plans/gltf-normalize-extended-collider.md	docs/plans/active/gltf-normalize-extended-collider.md	gltf-normalize-extended-collider	open	active	legacy open status; review before move	true
spec	docs/plans/gltf-rebake-axis-bind-matrices.md	docs/plans/active/gltf-rebake-axis-bind-matrices.md	gltf-rebake-axis-bind-matrices	open	active	legacy open status; review before move	true
spec	docs/plans/gltf-repair-vrm1-thumb-slots.md	docs/plans/active/gltf-repair-vrm1-thumb-slots.md	gltf-repair-vrm1-thumb-slots	open	active	legacy open status; review before move	true
spec	docs/plans/gltf-wire-axis-bake-normalize-vrm.md	docs/plans/active/gltf-wire-axis-bake-normalize-vrm.md	gltf-wire-axis-bake-normalize-vrm	open	active	legacy open status; review before move	true
spec	docs/plans/harden-system-drift.md	docs/plans/completed/harden-system-drift.md	harden-system-drift	done	completed	frontmatter status done	false
spec	docs/plans/import-add-prop-gltf.md	docs/plans/active/import-add-prop-gltf.md	import-add-prop-gltf	open	active	legacy open status; review before move	true
spec	docs/plans/link-codex-context.md	docs/plans/active/link-codex-context.md	link-codex-context	open	active	legacy open status; review before move	true
spec	docs/plans/measure-claude-skill-list-cost.md	docs/plans/drafts/measure-claude-skill-list-cost.md	measure-claude-skill-list-cost	draft	drafts	frontmatter status draft	false
spec	docs/plans/migrate-to-llm-first.md	docs/plans/completed/migrate-to-llm-first.md	migrate-to-llm-first	done	completed	frontmatter status done	false
spec	docs/plans/obsidian-contract-cleanup-batch.md	docs/plans/completed/obsidian-contract-cleanup-batch.md	obsidian-contract-cleanup-batch	implemented	completed	frontmatter status implemented	false
report	docs/plans/obsidian-contract-cleanup-reports/action-log.md	docs/plans/reports/obsidian-contract-cleanup/action-log.md	obsidian-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-contract-cleanup-reports/deferred.md	docs/plans/reports/obsidian-contract-cleanup/deferred.md	obsidian-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-contract-cleanup-reports/external-devlog-link-repair.md	docs/plans/reports/obsidian-contract-cleanup/external-devlog-link-repair.md	obsidian-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-contract-cleanup-reports/second-pass-action-log.md	docs/plans/reports/obsidian-contract-cleanup/second-pass-action-log.md	obsidian-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-contract-cleanup-reports/snapshot.md	docs/plans/reports/obsidian-contract-cleanup/snapshot.md	obsidian-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
spec	docs/plans/obsidian-contract-cleanup.md	docs/plans/completed/obsidian-contract-cleanup.md	obsidian-contract-cleanup	implemented	completed	frontmatter status implemented	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-29-14-022Z/auto-fix-preview.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-29-14-022Z/auto-fix-preview.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-29-14-022Z/decision-needed.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-29-14-022Z/decision-needed.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-29-14-022Z/summary.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-29-14-022Z/summary.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-29-29-661Z/auto-fix-preview.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-29-29-661Z/auto-fix-preview.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-29-29-661Z/decision-needed.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-29-29-661Z/decision-needed.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-29-29-661Z/summary.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-29-29-661Z/summary.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-31-45-574Z/auto-fix-preview.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-31-45-574Z/auto-fix-preview.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-31-45-574Z/decision-needed.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-31-45-574Z/decision-needed.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-31-45-574Z/summary.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-31-45-574Z/summary.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-31-59-141Z/auto-fix-preview.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-31-59-141Z/auto-fix-preview.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-31-59-141Z/decision-needed.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-31-59-141Z/decision-needed.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/2026-05-16T16-31-59-141Z/summary.json	docs/plans/reports/obsidian-note-contract-cleanup/2026-05-16T16-31-59-141Z/summary.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/final-contract-cleanup-2026-05-17/applied.json	docs/plans/reports/obsidian-note-contract-cleanup/final-contract-cleanup-2026-05-17/applied.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/final-contract-cleanup-2026-05-17/preview.json	docs/plans/reports/obsidian-note-contract-cleanup/final-contract-cleanup-2026-05-17/preview.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/image-link-cleanup-2026-05-17/image-link-cleanup.json	docs/plans/reports/obsidian-note-contract-cleanup/image-link-cleanup-2026-05-17/image-link-cleanup.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/notion-archive-migration-2026-05-17/manifest.json	docs/plans/reports/obsidian-note-contract-cleanup/notion-archive-migration-2026-05-17/manifest.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/post-batch-summary.md	docs/plans/reports/obsidian-note-contract-cleanup/post-batch-summary.md	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-note-contract-cleanup-reports/title-quote-fix-2026-05-17/title-quote-fix.json	docs/plans/reports/obsidian-note-contract-cleanup/title-quote-fix-2026-05-17/title-quote-fix.json	obsidian-note-contract-cleanup	report-artifact	reports	report directory mapped to reports namespace	false
spec	docs/plans/obsidian-note-contract-cleanup.md	docs/plans/active/obsidian-note-contract-cleanup.md	obsidian-note-contract-cleanup	active	active	frontmatter status active	false
report	docs/plans/obsidian-project-docs-structure-migration-reports/legacy-hub-decisions.md	docs/plans/reports/obsidian-project-docs-structure-migration/legacy-hub-decisions.md	obsidian-project-docs-structure-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-project-docs-structure-migration-reports/link-repair.md	docs/plans/reports/obsidian-project-docs-structure-migration/link-repair.md	obsidian-project-docs-structure-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-project-docs-structure-migration-reports/move-manifest.tsv	docs/plans/reports/obsidian-project-docs-structure-migration/move-manifest.tsv	obsidian-project-docs-structure-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-project-docs-structure-migration-reports/move-verification.md	docs/plans/reports/obsidian-project-docs-structure-migration/move-verification.md	obsidian-project-docs-structure-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-project-docs-structure-migration-reports/readme-repair.md	docs/plans/reports/obsidian-project-docs-structure-migration/readme-repair.md	obsidian-project-docs-structure-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-project-docs-structure-migration-reports/remaining-43-actions.tsv	docs/plans/reports/obsidian-project-docs-structure-migration/remaining-43-actions.tsv	obsidian-project-docs-structure-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-project-docs-structure-migration-reports/remaining-43-link-pairs.json	docs/plans/reports/obsidian-project-docs-structure-migration/remaining-43-link-pairs.json	obsidian-project-docs-structure-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-project-docs-structure-migration-reports/remaining-43-link-repair.md	docs/plans/reports/obsidian-project-docs-structure-migration/remaining-43-link-repair.md	obsidian-project-docs-structure-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-project-docs-structure-migration-reports/skipped-files.md	docs/plans/reports/obsidian-project-docs-structure-migration/skipped-files.md	obsidian-project-docs-structure-migration	report-artifact	reports	report directory mapped to reports namespace	false
spec	docs/plans/obsidian-project-docs-structure-migration.md	docs/plans/active/obsidian-project-docs-structure-migration.md	obsidian-project-docs-structure-migration	active	active	frontmatter status active	false
spec	docs/plans/obsidian-project-docs-structure-remaining-43-review.md	docs/plans/completed/obsidian-project-docs-structure-remaining-43-review.md	obsidian-project-docs-structure-remaining-43-review	implemented	completed	frontmatter status implemented	false
report	docs/plans/obsidian-root-projects-daily-migration-reports/2026-05-16T16-17-10-678Z/conflicts.json	docs/plans/reports/obsidian-root-projects-daily-migration/2026-05-16T16-17-10-678Z/conflicts.json	obsidian-root-projects-daily-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-root-projects-daily-migration-reports/2026-05-16T16-17-10-678Z/move-manifest.json	docs/plans/reports/obsidian-root-projects-daily-migration/2026-05-16T16-17-10-678Z/move-manifest.json	obsidian-root-projects-daily-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-root-projects-daily-migration-reports/2026-05-16T16-17-10-678Z/root-inventory.json	docs/plans/reports/obsidian-root-projects-daily-migration/2026-05-16T16-17-10-678Z/root-inventory.json	obsidian-root-projects-daily-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-root-projects-daily-migration-reports/2026-05-16T16-17-10-678Z/summary.json	docs/plans/reports/obsidian-root-projects-daily-migration/2026-05-16T16-17-10-678Z/summary.json	obsidian-root-projects-daily-migration	report-artifact	reports	report directory mapped to reports namespace	false
report	docs/plans/obsidian-root-projects-daily-migration-reports/post-migration-summary.md	docs/plans/reports/obsidian-root-projects-daily-migration/post-migration-summary.md	obsidian-root-projects-daily-migration	report-artifact	reports	report directory mapped to reports namespace	false
spec	docs/plans/obsidian-root-projects-daily-migration.md	docs/plans/proposed/obsidian-root-projects-daily-migration.md	obsidian-root-projects-daily-migration	proposed	proposed	frontmatter status proposed	false
spec	docs/plans/placeholder-material-checker-sampler.md	docs/plans/active/placeholder-material-checker-sampler.md	placeholder-material-checker-sampler	open	active	legacy open status; review before move	true
spec	docs/plans/remove-claude-terms.md	docs/plans/active/remove-claude-terms.md	remove-claude-terms	implemented-validation-blocked	active	validation-blocked implementation remains active until blocker closes	false
spec	docs/plans/rename-agent-hub-to-agent-hub.md	docs/plans/proposed/rename-agent-hub-to-agent-hub.md	rename-agent-hub-to-agent-hub	proposed	proposed	frontmatter status proposed	false
spec	docs/plans/rename-obsidian-claude-path.md	docs/plans/completed/rename-obsidian-claude-path.md	rename-obsidian-claude-path	implemented	completed	frontmatter status implemented	false
spec	docs/plans/retarget-cleanup-rig-branches.md	docs/plans/active/retarget-cleanup-rig-branches.md	retarget-cleanup-rig-branches	open	active	legacy open status; review before move	true
spec	docs/plans/retarget-recalibrate-default-pose.md	docs/plans/active/retarget-recalibrate-default-pose.md	retarget-recalibrate-default-pose	open	active	legacy open status; review before move	true
spec	docs/plans/shotloom-debug-router-pr-split.md	docs/plans/active/shotloom-debug-router-pr-split.md	shotloom-debug-router-pr-split	open	active	legacy open status; review before move	true
spec	docs/plans/shotloom-plan-skills-risk-map.md	docs/plans/active/shotloom-plan-skills-risk-map.md	shotloom-plan-skills-risk-map	open	active	legacy open status; review before move	true
spec	docs/plans/skill-oriented-context-loading.md	docs/plans/proposed/skill-oriented-context-loading.md	skill-oriented-context-loading	proposed	proposed	frontmatter status proposed	false
spec	docs/plans/skill-path-hardcoding-cleanup.md	docs/plans/active/skill-path-hardcoding-cleanup.md	skill-path-hardcoding-cleanup	active	active	frontmatter status active	false
spec	docs/plans/spec-validator-hardening.md	docs/plans/completed/spec-validator-hardening.md	spec-validator-hardening	implemented	completed	frontmatter status implemented	false
spec	docs/plans/split-vault-folders.md	docs/plans/completed/split-vault-folders.md	split-vault-folders	done	completed	frontmatter status done	false
spec	docs/plans/stage-add-map-document-parser-conflict.md	docs/plans/drafts/stage-add-map-document-parser-conflict.md	stage-add-map-document-parser-conflict	draft-conflict	drafts	frontmatter status draft-conflict	false
spec	docs/plans/stage-add-map-document-parser.md	docs/plans/active/stage-add-map-document-parser.md	stage-add-map-document-parser	open	active	legacy open status; review before move	true
spec	docs/plans/stage-define-map-document-bundle-layout.md	docs/plans/active/stage-define-map-document-bundle-layout.md	stage-define-map-document-bundle-layout	open	active	legacy open status; review before move	true
spec	docs/plans/staging-channel.md	docs/plans/parked/staging-channel.md	staging-channel	parked	parked	frontmatter status parked	false
spec	docs/plans/task-context-routing.md	docs/plans/completed/task-context-routing.md	task-context-routing	done	completed	frontmatter status done	false
spec	docs/plans/workspace-unify-thiserror-deps.md	docs/plans/active/workspace-unify-thiserror-deps.md	workspace-unify-thiserror-deps	open	active	legacy open status; review before move	true
